,alias,username,bio,num_of_posts,followers,following,bio_url,isprivate,scraped
15,최예슬 / 예스리아,yeseul0104,"🎀예스리아 상점🎀
_
▫️문의(CS) : 플러스 카카오톡 ' 닥터라벨르 '
로 연락주시면 최대한 빠르게 도와드릴게요!
DM은 확인이 어려워요 ♡",468,180243,4,,False,2019-07-13 07:11:16
16,이루리 ILULIY イルリ,iluliy,"🎀긍정적이고 예쁜 생각을 하며 밝은 모습으로 지내기📝
YouTube_ iluliy
💛새싹들에게 행복을 주는 이루리가 되도록 할게요🌱",659,29341,197,,False,2019-07-13 07:11:18
17,PARK BYEONG CHANG,bbc0526,"🇰🇷 1993.05.26 (age27)
소소한 데일리룩 @bbc05261",1414,193560,1778,youtu.be/iQ-Aq68th2Q,False,2019-07-13 07:11:20
18,청춘여락,youlakk,"TOP.1 여행유튜버
🚨우리의 피드는 여행뽐뿌를 자극합니다.
-
📸여행 에피소드를 제작하는 크리에이터
-
📩비지니스 문의 youlakk@naver.com
-
치앙마이 패키지 직장인 ver 👇",566,67111,2,,False,2019-07-13 07:11:22
19,악어 (진동민) YouTuber,acau1197,,139,147770,223,cafe.naver.com/bjcrocodile,False,2019-07-13 07:11:24
20,,great_b,,2,36,11,,False,2019-07-13 07:11:26
21,박준형 god Joon Park,godjp,"Just ridin the sky blue wave of life~ GOD BLESS!!!
www.twitter.com/godjoonpark
My Youtube Channel ""Wassup Man"" 와썹맨",1584,603742,126,www.youtube.com/wassupman,False,2019-07-13 07:11:28
22,양팡(양은지),_eunz1nara_,"bj양팡
💌협찬문의 : eunz1nara@gmail.com
❤🧡💛양팡샵💚💙💜",142,497584,109,www.양팡샵.com,False,2019-07-13 07:11:30
23,스튜디오 장삐쭈,studio_jangbbijju,"성덕 보조작가가 알려주는 ٩(ˊᗜˋ)و
💛스튜디오 장삐쭈💛 비하인드 스토리",60,12444,7,youtu.be/cEN00wMFB2A,False,2019-07-13 07:11:32
24,Lee Hyeon Seok,hyeonseok_bomulsum,아룡하세요~~ 잇 유튜브 🌴보물섬🌴 구독해줘잉😖,133,56514,296,www.youtube.com/channel/UC9ZLv1m7QDLv991X1-p50AA,False,2019-07-13 07:11:34
25,박민규 👶,mingggkiiii,"유튜버 더블비 입니다😃
👃🏻👃🏻👃🏻왕코 쇼핑몰👃🏻👃🏻👃🏻
🤢네이버에는 더블비 박민규 쇼핑몰 검색🤢",264,97496,723,thechamp.co.kr/index.html,False,2019-07-13 07:11:36
26,정 선호,seonozzi,창작자,81,57988,139,www.youtube.com/Seonozzi,False,2019-07-13 07:11:39
27,조재원 (赵宰元),jojaewon0703,1993.07.03,138,148198,181,www.youtube.com/channel/UC2o_y872S6YvaO1K8EYnoxg,False,2019-07-13 07:11:41
28,으뜸한,ddmchu,팬미팅 공지 영상입니다,30,4901,666,youtu.be/pD4htHJo9v4,False,2019-07-13 07:11:43
29,강기정,legend_imda,"인스타 광고 문의는 DM으로 주세요!
<BJ★임다★의 유튜브 채널>",159,36415,228,bit.ly/2nJ5uB0,False,2019-07-13 07:11:45
30,급식왕,schoolfoodking,,68,5294,2,,False,2019-07-13 07:11:47
31,엔조이커플 [enjoycouple],enjoycouple,"엔조이커플 enjoycouple (유튜브,페이스북,틱톡) 구독♡
광고, 방송, 강연 및 제휴문의는 메일로부탁드려용♡",263,139798,41,www.youtube.com/enjoycouple,False,2019-07-13 07:11:50
32,남순(박현우),wnnw2,Youtube-남순 옷구매처-nsshop.org,37,39623,10,bitly.kr/kXXT,False,2019-07-13 07:11:52
33,유준호,yuferesia,"꿈과 목젖이 있는 크리에이터 입니다.
결혼 안 했어요~❤",450,78909,518,www.youtube.com/user/nutellavoice,False,2019-07-13 07:11:54
34,쿠쿠크루 official,cuckoocrew,,9,6101,0,youtube.com/realcuckoocrew,False,2019-07-13 07:11:55
35,킹기훈,monkey.d.kihoon,"아프리카bj 킹기훈입니다
일상생활 공간입니당♡",144,122727,240,smartstore.naver.com/beautycanvas/products/4539189590,False,2019-07-13 07:11:57
36,송대의,songdaei,,3,11,2,,False,2019-07-13 07:11:59
37,꽈뚜룹,real_quaddurup,@qdr_official,165,98821,318,,False,2019-07-13 07:12:01
38,"Jaehoon Lim, 임재훈",magicianjhl,유튜버 제제입니다.,350,4551,299,www.youtube.com/channel/UCxp9XKFw-lMTlIa_2yrfdqQ,False,2019-07-13 07:12:03
39,유튜브크리에이터 윰댕,yumcast11,"비즈니스메일
jw.jun@cj.net
----------------------
YOUTUBE",642,134440,76,www.youtube.com/user/yumcast11,False,2019-07-13 07:12:05
40,이꽃빈,flowervin7,"유튜브: 꽃빈 검색하시면 러너꽃빈tv 뜹니당♥︎
문의 메일 : flowervin7@naver.com
#꽃빈",413,65899,52,,False,2019-07-13 07:12:07
41,,hotdog_tv_,핫도그티비 공식계정입니다.,38,2039,2,www.youtube.com/channel/UC5Ida86tt8QKa4Myw7idxNg,False,2019-07-13 07:12:09
42,이설,leeseol00,"#이설
DM확인이 늦으니
광고문의는 꼭 메일로주세요^^
LEESEOL00@NAVER.COM / ⬇️구독!",1294,156012,209,www.youtube.com/c/LeeseolTV,False,2019-07-13 07:12:11
43,김아영(코코),coco20002,"문의:osio2017@naver.com
Youtube ▼코코TV ▼ 구독",5,249748,13,bit.ly/2P9NtIg,False,2019-07-13 07:12:13
44,유소나,usona_official,,16,26303,14,youtube.com/usonatv,False,2019-07-13 07:12:15
45,박진아,24x01,"7월 10일 ~ 7월 13일
피토페시아 샴푸 공구 <추자샵>",139,71169,173,www.추자샵.com,False,2019-07-13 07:12:17
46,Sunmin_선민_Youtuber,seonminj,👄Music & 20's life style👇🏻,524,20330,236,www.youtube.com/user/jeongseonmin,False,2019-07-13 07:12:20
47,Ming Wong,1248,,0,158,104,,False,2019-07-13 07:12:21
48,행복주치의 단희쌤,kokomimi77,"헛되이 보낸 오늘은
어제 죽은 이가 그토록 그리던 내일이다.
저와 함께 당신의 꿈을 현실로 함께 만들어요~
#행복 #힐링 #부동산 #1인기업 #독서
📺단희쌤의 유튜브 채널 '단희TV'",227,11072,4871,www.youtube.com/c/단희tv,False,2019-07-13 07:12:23
49,날라리데이브,nalaridave,"""나는 유튜브로 영어를 배웠다"" 구매좌표 👇",695,12166,570,bit.ly/2J7i87O,False,2019-07-13 07:12:25
50,장민 Jang Min,mjangarax,🇰🇷 🇪🇸,503,152078,423,,False,2019-07-13 07:12:28
51,🌙,twitch.seungdal,https://www.twitch.tv/cocopopp671,254,11969,115,,False,2019-07-13 07:12:30
52,브베,8beube8,"안녕하세요 친구들~ 브베 입니당~ 이곳에 제가 일상에서 느끼는 행복한 느낌과 여러 느낌들을 사진과 영상으로 올립니당~ #브베
-댓글 작성 규칙 -
댓글은 다양한 표현으로 자유롭게 올려주실수 있지만, 패드립과 심한 욕 등은 통보 없이 삭제합니당~ (링크,브베생방송채널)",56,2508,3994,www.youtube.com/channel/UCz1A9dqnK1fS0f92OG_voEw,False,2019-07-13 07:12:32
53,고몽,gomongtube,"스토리가 있는 모든 것을 이야기하는 유튜버 고몽
사생활 인스타 -> @gomongyoutube
고몽 페이스북 -> 오늘밤엔이영화
이메일 -> dl_gomong@playlistcorp.com
#영화 #드라마 #애니메이션 #미드 #영드 #일드
#도서 #게임 #예능",130,18488,1,goo.gl/8LtfY1,False,2019-07-13 07:12:34
54,지무비,G_movie__,"G리는 영화채널, 지무비 : G Movie 입니다.
#영화 #드라마 #미드 #영화추천
[문의]
awayout2@naver.com
[유튜브]",18,727,1,goo.gl/4ETvXY,False,2019-07-13 07:12:36
55,홍시대장,hong_cinema,홍홍홍🙇,21,455,1,,False,2019-07-13 07:12:38
56,필름에빠지다,twdholic66,영화 유튜버,0,336,52,,False,2019-07-13 07:12:39
57,김상경,sanggung,,0,3,0,,False,2019-07-13 07:12:42
58,Sony Pictures Korea,sonypictureskr_official,"#스파이더맨_파프롬홈 절찬상영중
#앵그리버드2_독수리왕국의침공 8월 7일 대개봉
-
👇#스파이더맨_파프롬홈 N차관람 이벤트 응모하기",703,15248,43,bit.ly/2Jsc9dQ,False,2019-07-13 07:12:44
59,자취방남자,honza_nam_ytb,"영화소개,추천을 합니다
☺성원에 감사드립니다.DM을 통한 응원은 마음만 받겠습니다😆
- 다이아tv
- 방구석1열
- 유튜브 영화 리뷰
#자취 #영화 #영화소개 #유튜버",183,229,0,goo.gl/SvY64v,False,2019-07-13 07:12:46
60,구불,9_bul,영화보다 재밌는 병맛리뷰,109,2499,1672,www.youtube.com/c/9bulmovie,False,2019-07-13 07:12:48
61,캡틴라미,captainramy,"📺영화 채널: 캡틴라미
🎮게임 채널: 홈게임
💎God is love💎
📱문의: DM ☕안녕, 내가 바로 캡틴이야!",219,217,103,youtube.com/c/captainramy,False,2019-07-13 07:12:51
62,유승엽,powermovie,Director,46,3273,14,www.youtube.com/c/POWERMOVIE,False,2019-07-13 07:12:53
63,리뷰엉이,owlsreview,"영화 컨텐츠 크리에이터 리뷰엉이의 인스타그램!
구독자 여러분들과의 더 쾌적한 소통을 위해 만들었습니다. 영화 관련 컨텐츠와 리뷰영상은 아래 주소를 클릭하세요",42,361,53,www.youtube.com/Owlsreview,False,2019-07-13 07:12:55
64,민호타우르스,minhotaurs,,17,899,155,,False,2019-07-13 07:12:59
65,쇼박스,showbox.movie,쇼박스 공식 인스타그램,25,2215,0,www.facebook.com/Showbox.Movie,True,2019-07-13 07:13:00
66,딩고 무비 공식 인스타그램,dingo_movie,딩고무비 유튜브 구독하기 ⬇️,180,2011,8,bit.ly/dingo_movie,False,2019-07-13 07:13:01
67,Redtomatotube,redtomatotube,"꿀잼유튜브 빨간토마토입니다🍅
소재 제보는 briojae@gmail.com
#유튜버 #유튜브 #빨간토마토 #미스터리",595,6809,20,www.youtube.com/user/briojae,False,2019-07-13 07:13:03
68,도엽,pik4chu_44,서봄,24,756,366,,False,2019-07-13 07:13:05
69,나하은 (Na Haeun),awesomehaeun,"▫공식 인스타그램 (Official Instagram)
▫2009.01.16/137CM,25KG
▫키즈플래닛 소속 (KidsPlanet)
▫️하은맘이 관리하는 인스타그램 (Managed By Mom)
▫️🕺🏾kidsdancer 👯‍♀️kidsmodel
🔽팬카페",2830,1528016,142,cafe.daum.net/Haeun09,False,2019-07-13 07:13:07
70,WAVEYA ARI,waveyaari,"✉ waveya777@naver.com
❤ YouTube :waveya2011
TWITTER @Waveya_Official",2188,177226,44,memberme.net/waveya,False,2019-07-13 07:13:09
71,고퇴경(GoToe),gotoegram,"E-mail : xhlrud47@naver.com
Facebook , Twitter : GoToe
#GoToe
👇Have you subscribed my YT channel yet???☺",616,372386,255,youtu.be/5jhgGw-V8po,False,2019-07-13 07:13:11
72,Lisa Rhee,imlisarhee,"06.15.1995
🔹@rheesarang
🔻YouTube: imlisarhee
👇🏻”Fever” GFriend🌴",281,242461,332,youtu.be/YXqbDAGBXj0,False,2019-07-13 07:13:13
73,김별,kb0780,"아프리카티비BJ
춤추는곰돌
팔로우 감사해용
김별",1284,31454,7501,www.afreeca.com/rlaquf0130,False,2019-07-13 07:13:15
74,조싀앤바믜🇰🇷🎗,josh_bamui,요기요 투표하러 고고💕,264,14170,72,bit.ly/2XhrbrL,False,2019-07-13 07:13:17
75,다이아나&KCT,diana_kct,"여성댄스팀 다이아나(Diana) & 남성댄스팀 KCT 페이지입니다.
매주 일요일 홍대 걷고싶은거리 공차 앞
오후5시30분~9시 댄스버스킹
유튜브, 페이스북, 아프리카TV “다이아나” 검색",54,5494,12,www.afreecatv.com/jumki18,False,2019-07-13 07:13:20
76,GOD DONGMIN(갓동민),dongmin9249,"광고&섭외 문의는 메세지 주세요.
•Dancer & GDM crew Leader
•Youtube: http://youtube.com/GodDongMin
(Subscribe to my channel)
•Facebook:황동민(갓동민),Hwang Dongmin",414,20821,57,m.afreecatv.com/ehdals1362,False,2019-07-13 07:13:21
77,효크포크,hyokfork,앗! 이한결 이목구비 내 미래보다 뚜렷하다!,55,52324,315,,False,2019-07-13 07:13:24
78,Dasuri Choi🇰🇷🇵🇭 최다슬,dasurichoi_,"Inquiries: Phoi Chan (+63) 9985641578
Latest YOUTUBE video here 👇",468,132490,1187,youtu.be/-_iXCJsQg8k,False,2019-07-13 07:13:26
79,Yu Kagawa 카가와 유,k_yu0127,"Dancer / YouTuber
#Business #레슨문의 →DM
📍(Sat) 3pm~ @feedbackstudiokr

Pepe🐕@todayspepe
☟YouTube channel",282,25575,80,www.youtube.com/yukagawa,False,2019-07-13 07:13:27
80,Danse Jin (춤추는선진이),danse_jin,"한국예술종합학교 무용원 창작과
Beauty/Dance/Vlog Creator
Youtube “춤추는선진이”
💎청하 커버 메이크업 보러가기👇🏻💎",239,15812,139,youtu.be/ZHK3aTGJbQY,False,2019-07-13 07:13:29
81,플레이리스트,playlist_studio,"Playlist for our lives, PLAYLIST
유튜브, 페이스북, 네이버TV, V에서 방송 중!
.
🔴On-Air
__수, 토 저녁 7시 [연플리 시즌4]
__목, 일 저녁 7시 [에이틴 2]
.
👇지금 보러 가기",766,538030,104,www.youtube.com/channel/UCid83oPnsL-4ZEo8CyQr6Rg,False,2019-07-13 07:13:31
82,엄마가 잠든 후에,mom_zzz_official,"Pikicast 신개념 먹방 ASMR [엄잠후🍽]
▼엄.잠.후 콘텐츠 보러가기▼",84,18541,1,bit.ly/2S6fEKI,False,2019-07-13 07:13:33
83,콬TV,koktv_official,"📍콬TV 공식 인스타그램 많이 많이 사랑해주세요
.
#일진에게찍혔을때 🌟7월 30일 첫방송🌟
매주 화요일 목요일 오후 6시에 만나요❤️
.
👇콬TV 만나러가기👇",510,9824,81,bit.ly/KOK_Subscribe,False,2019-07-13 07:13:35
84,티키틱 TIKITIK,tikitik.official,"오늘이 무대🎵
🎹신혁: @project_sh 🎭세진: @3jin5
🎨은택: @wavideo 🔘추추: @choo__oong
👇새 영상 보러가기👇",75,16736,4,youtu.be/IVobCpMYqfM,False,2019-07-13 07:13:38
85,72초TV 공식 계정,72sectv,"새롭고 재밌는 드라마 합니다
🕶 시크릿 코드 이벤트 진행 중 🕶
자세한 사항은 아래 채널에서",66,2491,36,www.youtube.com/channel/UC4u2X5QolYdz4faUfKRm3_w,False,2019-07-13 07:13:40
86,꿀키 . Honeykki 🎗🕯🇰🇷,honey_kki,andrabbit@naver.com ㅣ DM✖️,2082,92063,325,www.youtube.com/honeykkicook,False,2019-07-13 07:13:41
87,팬케이,pankinstar,Hi im pancake artist and Leo butler! ^^ (안녕하세요. 저는 팬케이크 아티스트이자 레오 집사입니당! ^^),31,695,4,www.youtube.com/channel/UCUHO_Qus2BYhVv9_oIwfHVQ,False,2019-07-13 07:13:43
88,아리키친(ARIKITCHEN),_arikitchen_,"💡아이디어 통통 쿠킹!
💜유튜브 크리에이터 #아리키친
💜마카롱은 #아리카롱
✨아리키친 디저트샵으로 놀러오세요✨
⭐️수원시 영통구 법조로 149번길 27 1층⭐️
⭐️오전 11:00 ~ 오후 7:00 (월요일 휴무)⭐️
🙏🏻 DM 확인이 어렵습니다!",1151,97299,142,www.arikitchen.com,False,2019-07-13 07:13:45
89,Gabie Kook,gabiekook,"Eat. Share. Love💕
Lifestyle&Food Vlogger in #London
📬: gabiekook@gmail.com
🎁shop link👇🏻",1688,221790,224,bit.ly/31Gx7Op_gabiekook,False,2019-07-13 07:13:47
90,얌무(YAMMoo),yammoo00,"Prov. 16:9
_
인스타/유튜브 유료광고협찬 일절 받지 않습니다.
TV 방송출연 하지 않습니다.
👇🏻🔎Youtube - YAMMoo",468,73506,17,bit.ly/2wMjP35,False,2019-07-13 07:13:49
91,더스쿱💖 (쁘띠제과 스쿱당),the__scoop,"늘 감사해요 많이
✨쁘띠제과 #스쿱당 @scoop_dang_bakery
✨유튜브는 #더스쿱 @the__scoop
.
스쿱당 목금토 11시 오픈🙆🏻‍♀️❤️
.
더스쿱 유튜브 구독 꾹꾹이!💕
스쿱이가 구독자분들 항상 고마워해요💕
.
💖더스쿱 유튜브💖",381,44508,257,www.youtube.com/c/thescoopcook,False,2019-07-13 07:13:52
92,Kimi 키미,life.kimiforest,South Korea 🇰🇷 시골에서 살기,515,5382,32,youtube.com/kimitv,False,2019-07-13 07:13:54
93,Becky&Tommy 베키&타미,becky.tommy,,49,1879,84,,False,2019-07-13 07:13:56
94,김민경,gagkimminkyoung,"라디오쿡방~ 불면증,배고픔치료^^
유튜브 민경장군으로 오세요
🔻눌러눌러~♥♥",267,81069,320,goo.gl/ZZsqWi,False,2019-07-13 07:13:58
95,Hye Young Rhee,rheehye,요리하는여자 데라세르나 유튜브 / 콜라보 문의는 chechey3@NAVER.com 으로주세요~DM 잘 안봐요;)#요리유튜버 #푸드크리에이터 #요리영상 #요리하는여자 #홈쿡,1152,2407,1791,m.youtube.com/channel/UCse0BZUEgpbPyyt-S9iqttw,False,2019-07-13 07:14:00
96,YouTuber hooni,hoon2136,"가게는 사정상 미공개이고
오로지 일본인상대로만
운영중입니다
넓은 마음으로
그점 양해바랍니다
여러분들의 이해가
제가유튜브를 지속할수있는
힘이됩니다
:
YouTube⬇️",308,6994,11,www.youtube.com/channel/UCP7p2SX81x6hEXnmVDCPR7g,False,2019-07-13 07:14:01
97,언더케이지 (underKG),underkgshow,"underKG 공식 인스타그램입니다! 언박싱과 리뷰는 홈페이지에서 확인해 주세요.
underKG's official IG! Visit our web for #unboxing and #review for the latest tech.
#개봉기 #언박싱 #리뷰 #후기",922,15854,0,www.underkg.co.kr,False,2019-07-13 07:14:03
98,성명준,sungmyoungjun,"#모범
#나태함과타협하지마라
#어떠한경험도필요하지않은것은없다
#들은것은잊어버리고본것은기억하며해본것은이해한다
#링코노래타운 #대표
#유튜브 #성명준",1408,46562,450,m.youtube.com/channel/UCFIeZnCOh_7JZAgJB3XaLXw,False,2019-07-13 07:14:05
99,JM,jmtvinsta,반가워요 여러분~!!!,225,12660,858,www.youtube.com/channel/UCYAvG7-sBBztgDtwKil1RTQ,False,2019-07-13 07:14:07
100,한승훈,blueskyh2,우파티비 크리에이터,751,27746,197,m.youtube.com/channel/UCFUpTxU3nlGed-suY-FjjxA,False,2019-07-13 07:14:09
101,오가나 닥터오가나 닥터돈까스,ogana_,피부과 전문의/오가나 피부과 대표원장/(주)오가나셀 CEO/ 닥터돈까스 블로그 필자 / 오프라이드 유튜버,1468,389580,5303,www.youtube.com/user/MrAmorall,False,2019-07-13 07:14:10
102,가전주부 GJJB,seoyoungchoi_,인생은 장비발🙃,677,13483,431,,False,2019-07-13 07:14:12
103,말방구 실험실 딴트공,ddantgong,"유튜브 '말방구실험실' 및 네이버 오디오클립 '잼테크' 프로듀서 입니다
네이버에서 '딴트공' 혹은 '말방구실험실'로 검색하시면 쉽게 찾으실 수 있습니다",195,30864,4082,ddantgong.com,False,2019-07-13 07:14:14
104,최마태의 PostIT,mate_postit,최마태의 PostIT에 소개되었던 사진들💓,108,18474,130,,False,2019-07-13 07:14:16
105,디에디트,the_edit.co.kr,"사는 재미가 없다면 사는 재미라도
[제휴문의: hello@the-edit.co.kr]",699,23309,6296,the-edit.co.kr,False,2019-07-13 07:14:18
106,DRGN LAKE 龍湖水 용호수,drgnlake,"龍湖水 용호수 : Video Artist based in Seoul
Youtube: ""DRGN LAKE""",228,6308,0,drgnlake.com,False,2019-07-13 07:14:20
107,한상기 Han Sang Ki,hansangki0755,,591,6397,353,www.autopress.co.kr,False,2019-07-13 07:14:21
108,Dae-Hyun Kim,4delight,"Music Producer, ceo@docob.net",1900,1257,446,docob.dk,False,2019-07-13 07:14:23
109,부동산읽어주는남자 정태익,take_jung,"#부동산읽어주는남자 #정태익
임대사업하는 부동산경매투자자
유튜브 [부동산 읽어주는 남자] 운영자",272,1967,27,www.youtube.com/channel/UC2QeHNJFfuQWB4cy3M-745g,False,2019-07-13 07:14:25
110,DC튜브,dctube601,"일반기계기사/전산응용기계제도기능사/기계설계산업기사/기계식키보드/게이밍마우스/게이밍헤드셋
DC튜브 유튜브채널 아래링크 클릭!👇👇👇",131,263,143,goo.gl/Tk4qV1,False,2019-07-13 07:14:27
111,손희승,seoulian.h,사부작사부작 손긍정님😊 #서울리안,336,2880,363,www.youtube.com/seoulian,False,2019-07-13 07:14:29
112,Gonago,gonago,유튜버고나고가최고나,638,3957,68,,False,2019-07-13 07:14:31
113,오토소닉스,autosonics_k,"031 902 5257
경기 고양시 일산동구 백석동 1112-10 (장항로81)
주식회사 오토소닉스
●유튜브채널●아래 클릭●",212,571,252,goo.gl/fDp2JP,False,2019-07-13 07:14:33
114,자동차 좋아하는 여자 CARGIRL,cargirlmedia,YouTuber: 자동차 좋아하는 여자 CARGIRL,142,1740,109,youtu.be/UOG4gzTY6Mg,False,2019-07-13 07:14:35
115,류석,ryuseok_bike,"간절히 원하면 이루어진다
바이크 & 카라이프",1473,4889,86,www.youtube.com/tokyoryu,False,2019-07-13 07:14:38
116,김미경,mikyungkim_kr,"#유튜브김미경TV
#MKTV
#네이버카페김미경캠퍼스
#비영리법인그루맘
.
📌김미경의 위북토크쇼 신청",1807,91071,248,forms.gle/mDJcdDcPX9676dWG9,False,2019-07-13 07:14:39
117,VIDEOCLASS,jwvid,7월 오프라인 강의👍,389,9017,343,vc-class.com,False,2019-07-13 07:14:42
118,Moayo,moayowagon,착한 설명충 모아요.,33,2915,7,,False,2019-07-13 07:14:44
119,연고티비,yonkotv,"연세대&고려대생들이 보여주는 수험/입시, 그리고 대학생활!
에듀테인먼트 채널 연고티비입니다🙆
(Powered by YOUNIV)
_
👇🏼연고티비 노트세트 사러가기👇🏼",321,21533,16,bit.ly/2GCanGF,False,2019-07-13 07:14:46
120,부동산읽어주는남자 정태익,take_jung,"#부동산읽어주는남자 #정태익
임대사업하는 부동산경매투자자
유튜브 [부동산 읽어주는 남자] 운영자",272,1967,27,www.youtube.com/channel/UC2QeHNJFfuQWB4cy3M-745g,False,2019-07-13 07:14:48
121,유하,yuhadayo,"💟유튜브 '유하다요'
🎵일본어인강 @yuhadayo_japanese
※7/7 일본어능력시험 모두 고생 많았어😊👏",361,6134,59,yuhadayo.com,False,2019-07-13 07:14:50
122,과학쿠키,snceckie,; Creator / Science Communicater / Youtuber,37,558,0,www.youtube.com/channel/UCmgRYMK5d65PbjN8qkjAUBA,False,2019-07-13 07:14:52
123,역사 크리에이터 최한나,kiddy42815,"대한민국 대표 역사크리에이터! 천재교육 밀크티 중고등부 인강 사회•역사쌤! 한나의 역사스캔들 작가!! 아프리카TV 화석 BJ한나입니다~🐰
광고문의는 kiddy42815@naver.com 혹은 DM주세요!! 한나tv 유튜브구독하기!!",907,17608,133,www.youtube.com/hannaTV1,False,2019-07-13 07:14:54
124,"(사)배나무, 배나TV",bnatv1004,"다문화 정착 위해 노력하는
자원봉사 비영리사단법인

- 유튜브 배나TV '구독'과 '광고시청' 부탁드려요❤
- 문의: benamu1004@naver.com",637,850,1164,youtube.com/bnatv1004,False,2019-07-13 07:14:56
125,Minji Kim,minjiteacheskorean,"I teach Korean language on Youtube🇰🇷
유튜브에서 한국어를 가르치고 있습니다
.
📌 Check out my new video! 📌
🎬 [ MINJI ON TV!! ]⤵️",346,3862,184,youtu.be/1AQPDIta1f0,False,2019-07-13 07:14:58
126,Billy Kong,KoreanBilly,"YouTuber / Video Creator 🇰🇷Korean Billy🇬🇧
✉️ Business(업무관련): koreanbillyofficial@gmail.com",1826,9562,450,www.youtube.com/user/aoao35044,False,2019-07-13 07:14:59
127,Oneear,oneear2017,"My name is Junho.
I'm a full TIME Youtuber in Korea.
If you wanna see more videos of mine
check them out here :",122,588,85,goo.gl/f9OAoC,False,2019-07-13 07:15:01
128,당신의 쟈링센세,jarring_tv,"🐻 [카카오TV] 생방송 - 쟈링 TV 검색
🎤주말밤(토,일)10시30분~
방송 수업자료 업로드! 손수제작 낱말카드！ 🌟subscribe!!
유튜브 [쟈링센세] 구독하기⬇︎⬇︎",1428,1530,204,www.youtube.com/channel/UCZSCOFQpUAN9pCdSwzBRs7g,False,2019-07-13 07:15:03
129,이지훈,hun1188,"Microsoft Powerpoint MVP
유튜브 '이지쌤' 채널 운영자
'EZ의 맛있는 파워포인트 디자인 168' 저자
삼성,LG,SK,서울시,고대,숙대 등
기업,지자체,대학 등 500여건 강의 출강
강의문의 DM 또는 이메일",343,919,363,goo.gl/2APxn7,False,2019-07-13 07:15:06
130,한세,hanse____,한세 스토어 👉 @hi_hanse,625,297624,70,smartstore.naver.com/hanse,False,2019-07-13 07:15:08
131,ASMR 하쁠리 🎗,rappeler.iam,👇🏻my Youtube channel,279,10353,1,www.youtube.com/c/ASMRrappeler20,False,2019-07-13 07:15:10
132,꿀꿀선아(asmr suna),ggulggulsuna,"🐷핑돼와 살구는👉 @pingu_pig_
문의는😬ggulggulsuna@gmail.com",165,43573,164,,False,2019-07-13 07:15:12
133,uno,uno_asmr,,23,11611,0,,False,2019-07-13 07:15:14
134,soupe,asmrsoupe,Study & Relaxation,10,988,0,www.henkelhomecare.co.kr/eventdt.do?eventno=130&s_sts=N,False,2019-07-13 07:15:17
