post_id,제목,글쓴이,작성일,조회수,추천수
1287576,"니메겐 (로아복제)  8일차 손에 이거뭔거같음?
[3]",ㅇㅇ(211.36),07.03,33,0
1287575,루틴바조요,ㅇㅇ(118.218),07.03,14,0
1287574,"여름인데 스티바A크림 냉장고 보관 도와주세요ㅠㅠ
[4]",■x,07.03,49,0
1287573,"도브 까는 새끼들 보면 죄다 그냥 곰보빵 피부임ㅋㅋㅋ
[10]",ㅡㄹㅡ(175.200),07.03,102,0
1287572,"연고먼저바르냐 보습제먼저바르냐?
[1]",ㅇㅇ(223.62),07.03,22,0
1287571,에이씨큐어엠엘이겔 어때?,ㅇㅇ(106.250),07.03,12,0
1287570,"매매 주작질 시작
[1]",ㅇㅇ(223.39),07.03,42,0
1287569,"방금 처방전받고왔는데
[1]",ㅇㅇ(223.39),07.03,23,0
1287568,"면세점에서 여사친 선물사야하는데 어떤거사요오오
[5]",지오반니(114.205),07.03,40,0
1287567,아다팔렌 아다깼다,마왕,07.03,37,2
1287566,레이저 받았으면 레틴 사둔거 무쓸모?,ㅇㅇ(211.36),07.03,11,0
1287565,"도브 알려준 게이야 고오맙다
[4]",쀼힛,07.03,72,0
1287563,님들은 돈이 많다면 어떤 시술 받을건가요,목만탔다(61.255),07.03,21,0
1287562,1일 1번 바이오가 추천글,ㅇㅇ(180.134),07.03,17,0
1287561,"약산성 세안제 나만 건조함?
[3]",ㅋ(211.36),07.03,38,0
1287560,"무기자차 논나노 선크림 추천함
[4]",ㅇㅇ(117.111),07.03,88,0
1287559,"싸구려 대용량 향수 ㅊㅊ좀
[2]",갤갤(39.7),07.03,40,0
1287558,"피부과 요새 무슨시술이 유행이야?
[1]",ㅇㅇ(125.177),07.03,43,0
1287557,민감 지성 루틴 (다시한번),ㅇㅇ(125.182),07.03,54,0
1287555,"클렌징워터는 양 얼마나 해야해요?
[1]",왈왈이초코,07.03,34,0
1287554,이 자차 좆지리네,지성피부박지성,07.03,66,0
1287553,"스티바a나 레틴a 쓰고나서 모공커지거나 파인흉터생긴사람있음??
[4]",ㅇㅇ(122.32),07.03,108,0
1287552,스티바는 단독발이 원래 맞음 ㅇㅇ,ㅇㅇ(210.223),07.03,59,1
1287550,"22남자 씹지성 기초템 봐주세요유ㅠㅠ
[1]",ㅇㅇㅇ(110.70),07.03,70,0
1287549,"닥터지선크림 개당 7000원에3개삿긔ㅋㅋ
[1]",냄새고민(223.62),07.03,57,0
1287548,러쉬 티트리워터삼,ㅇㅇ(175.223),07.03,17,0
1287547,"시카제품이 오히려 여드름 더 나게 할수잇음???
[1]",ㅇㅇㅇ(110.70),07.03,39,0
1287546,"피지제거 추천부탁한다
[5]",마왕,07.03,116,0
1287545,"늙으니까 피지도 안나온다
[4]",ㅇㅇ(223.33),07.03,80,0
1287544,아넷사 ㅆㅂ 금통이랑 로즈골드 써본 사람 있냐,ㅇㅇ(122.35),07.03,20,0
1287543,얼굴에도 물때가 남을수 있대,ㅁㅁ(211.36),07.03,40,0
1287542,집에만 있을거면 그냥 징크많이 들어간 로션 하나 바르고잇음 되지않을까,2개월,07.03,42,0
1287540,"트러블에 이거 써봄?
[5]",ㅇㅇ(58.150),07.03,491,0
1287538,안씨 사려고 혼자 왔는데,ㅇㅇ(223.38),07.03,22,0
1287537,"셀프로 MTS 2mm 해도 롤링흉터 효과있냐?
[3]",ㅇㅇ(211.109),07.03,63,0
1287536,평균피부톤의 남자가 쓸만한 썬크림 있나?,시간엄수(1.216),07.03,17,0
1287535,여드름약 먹으니까 입술 옆에 째짐 구각염,ㅇㅇ(116.120),07.03,22,0
1287534,스티바 절대 바르지마라. 진짜 존나 쓰레기임.,ㅇㅇ(110.70),07.03,156,5
1287533,"자외선 전문가 나와라
[8]",123(118.36),07.03,134,0
1287532,"하나로겔 발라본 게이 있냐ㅡ??
[3]",ㅇㅇ(223.62),07.03,33,0
설문,'돈많으면 형' 형이라 부르고픈 영앤리치 스타는?,운영자,19.07.02,-,-
1287531,부평 근처에 추천할 만한 피부과 있냐?,ㄴㄴ(58.238),07.03,16,0
1287530,"왜 시발 지하철만 타면 검둥이,압둘라 내 주변에 있냐
[1]",ㅇㅇ(117.111),07.03,59,0
1287529,"벤조일이 존나 잘듣긴하네 진짜..
[1]",ㅇㅇ(58.142),07.03,89,0
1287527,"그것외에도 고등학교때 같이다니던 여자애한테
[3]",ㅇㅇ(1.221),07.03,53,0
1287526,"내피부는 왜이렇게 십창인걸까 난 중학교때 남자애한테
[2]",ㅇㅇ(1.221),07.03,73,0
1287525,"너네들은 크림 어떤거 씀?
[6]",ㄹㄹㄹ(14.45),07.03,63,0
1287524,"여드름피부인려성인데 피부까지 십창났는데 머리 샤긔컷이나
[6]",ㅇㅇ(1.221),07.03,83,0
1287523,"주작질하다 걸려놓고 계속 발뺌하는 매매 vs
[5]",ㅇㅇ(175.223),07.03,88,4
1287522,"피부미용목적으로 레틴a 바르려는데 어느정도 써야 적당함??
[2]",ㅇㅇ(122.32),07.03,71,0
1287521,원래 쿠션 22호쓰면 생로랑 쿠션 몇호써야 맞냐??,ㅇㅇ(175.223),07.03,16,0
1287519,아쿠아필 회당 3만원이면 ㅅㅌㅊ냐?,이런(223.62),07.03,14,0
1287518,지루성피부염에 맞는 선크림 뭐 있냐?,ㅇㅇ(223.62),07.03,28,0
1287515,"아부지 선물로 선크림 사드리려는데
[1]",ㅇㅇㅇ(39.119),07.03,40,0
1287513,"여드름 파인 흉터는 걍절대 못고침?
[3]",ㅇㅇ(39.7),07.03,131,0
1287511,"너네 손비누 뭐씀? 손이 자꾸 틈ㅜㅜㅜ
[4]",ㅇㅇ(211.223),07.03,52,0
1287510,"원래 레이저 받고나면 뭐 더 올라옴?
[6]",ㅇㅇ(211.36),07.03,72,0
1287509,"피부 괜찮은데 여기와서 화장품 알아보려고하는거 비추천이다
[3]",ㅇㅇㅇ(121.130),07.03,89,1
1287508,"씹거ㅡㅡ기초랑 선크림 정해준다
[7]",ㅇㅇ(175.223),07.03,114,1
1287506,"이소티논 가역성탈모 질문
[3]",ㅇㅇ(125.183),07.03,32,0
1287505,"백탁없고 잘 씻겨나가는 무기자차좀 추천해줘
[3]",ㅇㅇ(116.40),07.03,65,0
1287504,"레틴 스티바 제발 쓰지마라 안쓰는게 낫다
[7]",ㅇㅇ(118.33),07.03,163,1
1287503,"레틴쓰면 요철은 바로 효과온다는데
[4]",2개월,07.03,101,0
1287502,"제조년도 1~2년 지난제품은 거르는게 낫지.?
[5]",쀼힛,07.03,59,0
1287501,"일리윤 무기자차 써본 갤러 있어?
[3]",ㅇㅇ(58.126),07.03,42,0
1287500,"모공 넓고 얼굴 전체적으로 블랙헤드 오지는데 뭐해야함
[3]",ㅇㅇ(211.36),07.03,85,0
1287499,"피부과 의사들도 스티바 다 조금씩 섞발 하는데
[4]",ㅇㅇ(39.7),07.03,132,1
1287497,"디페린 질문)
[4]",ㅇㅇ(1.218),07.03,75,0
1287496,"벤조일 어디서 사는거임?
[1]",ㅇㅇ(1.216),07.03,20,0
1287495,"디페린 제로이드 세라바 다 효과 없으면 어캐하냐;;
[2]",ㅇㅇ(211.246),07.03,59,0
1287494,선크림 매일매일 바르는데 양이 줄어들질않네,ㅇㅇ(164.125),07.03,21,0
1287493,"거지) 피지오겔 로션 좀 싸게 사는 방법 없나?
[3]",ㅇㅇ(125.180),07.03,44,0
1287492,"피부좆문가새끼들아 질문 딱 하나만받아라 ㅇㅇ
[4]",ㅇㅇ(221.146),07.03,121,0
1287491,"디페린 발라도 여드름같은거 생기는거면 지루성피부염인거임
[1]",ㅇㄴㄻㄴㅇㄹ(210.95),07.03,65,0
1287490,"미샤 마일드선같은 선크림 추천좀해줘 형들
[2]",행(223.62),07.03,49,0
1287489,"지루성 세안제로 둘중 머가 괜찬을까요?
[1]",ㅇㅇ(175.115),07.03,65,0
1287487,마스크팩 얼굴크기질문,ㅇㅇ(211.36),07.03,19,0
1287486,"이거 정품 맞나요 ?
[1]",프루팁스,07.03,70,0
1287485,"비비크림 지우는건 클렌징오일이랑 워터밖에 없나?
[1]",ㅇㅇ(223.39),07.03,40,0
1287484,"비비 지우는법좀...클렌징티슈 쓰면 피부염생기더라
[1]",ㅇㅇ(223.39),07.03,30,0
1287483,"남자는 외출시에 뭐발라야함?
[1]",뿌잉6,07.03,30,0
1287482,"레틴a 10g 보통 몇달 써??
[2]",2개월,07.03,51,0
1287481,지루성이라 크리니크 지루성 비누 쓰는데 더 괜찬은거 추천좀,ㅇㅇ(175.115),07.03,22,0
1287479,"트레이노인 0.05일일한 2일후기
[1]",익익(125.134),07.03,79,3
1287478,"입가 화이트헤드 어떡함?????????????
[1]",1111(175.223),07.03,50,0
1287475,"주름개선은 무슨수로 인증받는거임?
[2]",ㅇㅇ(220.125),07.03,64,0
1287474,"세라마이드 어쩌구 하는건 다 씨발 상술인듯.
[1]",ㅇㅇ(175.200),07.03,112,1
1287472,"폴라초이스 바하 2% vs 썸바이미 미라클토너
[3]",ㅇㅇ(110.70),07.03,54,0
1287471,"리즈너 뷰티 2천원 크림 후기
[4]",칸호사(112.161),07.03,66,0
1287470,"디페린 발랏는데 여드름 난다는새끼들 봐라
[10]",ㅇㅇ(112.187),07.03,210,0
1287468,"(진지) 랩시리즈 워터 로션이랑 올인원 어떰?.ask
[1]",훈남노노봉,07.03,42,0
설문,'돈많으면 형' 형이라 부르고픈 영앤리치 스타는?,운영자,19.07.02,-,-
1287467,"제로이드 수딩 쓰기만 하면피부 이지랄남
[8]",ㅇㅇ(112.153),07.03,259,0
1287466,"이거 닥자 새로 나온 티트리 라인인테 성분 어때?
[5]",ㄹㄹㄹ(14.45),07.03,78,0
1287462,"모공각화증 여기에 물어봐도 돼????
[2]",ㅇㅇ(58.230),07.03,56,0
1287461,"Mts 랑 클라리티레이저 5회89만이면창렬임?
[2]",ㅋㅋ(117.111),07.03,28,0
1287460,"카렌듈라 토너중에서 키엘말고 괜찮은 곳 없어????
[2]",ㄹㄹㄹ(14.45),07.03,30,0
1287459,"제로이드 핌프로브보다 수딩크림이 덜 기름지네?
[4]",13(59.21),07.03,70,0
1287457,"엉님들 화이트헤드엔 뭐가 좋습니까
[2]",ㅇㅇ(124.50),07.03,63,0
1287455,"박스카 흉터 도대체 어떻게 없애냐
[14]",ㅇㅇ(223.62),07.02,137,1
1287454,금액만 상관없으면 피부과에 쏟아붓는게 최곤가??,ㅇㅇ(59.6),07.02,25,0
1287452,"로아, 디페린 10일차 일기
[5]",토익공부하자,07.02,100,0
1287451,스케일링 받았는데 세수할때나 로션바를때,ㅇㅇ(118.220),07.02,29,0
1287449,"안녕하세요 향갤러님들 혹시 남으시는 폐향수 있으신가요?
[2]",ㅇㅇ(175.223),07.02,59,0
1287448,"모니터에서도 자외선 나오냐
[4]",123(59.14),07.02,108,0
1287447,"여드름 거의 다 조졌다
[11]",ㅇㅇ(119.71),07.02,260,0
1287444,"아 목에 뭐바르지ㅎㅎ
[3]",짱지은,07.02,65,0
1287443,"ㅆㅅㅌㅊ선크림 하나 추천할게
[11]",ㅁㄴㅇㄹ(223.62),07.02,276,3
1287442,"먹는 영양제 얼굴에 바르면 어케됨?
[2]",ㅇㅇ(27.115),07.02,64,0
1287440,아로마티카 로즈마리 우리엄마도 한소리하네 ㅋㅋ,ㅇㅇ(119.56),07.02,54,0
1287439,"세라비pm써본 혹은 잘 아는 갤러야 도와주라
[3]",쀼힛,07.02,92,0
1287438,"레타크닐 놔두고 레틴 많이 쓰는 이유 뭐냐?
[1]",ㅇㅇ(221.147),07.02,70,0
1287437,레틴A냄새 ㅎㅌㅊ긴하네,ㅇㅇ(223.33),07.02,27,0
1287435,"틀딱입니다,, 향갤녀러분께 해두리고싶은말,,
[3]",ㅇㅇ(223.39),07.02,80,0
1287434,"하이드로퀴논 미백 효과 좋네
[2]",ㅇㅇ(211.36),07.02,64,0
1287433,121.128특) 니베아파란통 아넷사 존나찬양하는데,ㅇㅇ(175.223),07.02,42,2
1287432,"야 바이오가 좋다 ㄹㅇ
[1]",ㅇㅇ(119.56),07.02,33,0
1287431,"레틴a  목엔 자극 많이 온다.,",ㅁㅅ(223.62),07.02,33,0
1287430,"아 니베아크림 왜이렇게 좋지
[3]",ㅇㅇ(121.128),07.02,114,0
1287428,"125 182 갤러야 네가 추 천해준거였구마?
[4]",ㅇㅇ(121.161),07.02,33,0
1287427,"으아너무먹고싶다 소보로빵
[2]",ㅇㅇ(125.132),07.02,58,0
1287426,"야 그냥 피부 알로에젤만 바르는거 어케생각함???????
[1]",ㅇㅇ,07.02,81,0
1287425,"선크림이랑 클렌져좀 추천해쥬
[5]",ㅇㅇ(125.179),07.02,74,0
1287424,"디페린이든 스티바든 레틴 면봉만큼 바르라던데
[2]",ㅇㅇ(222.119),07.02,103,0
1287423,"제로이드 수딩 쓰는 사람들 세안제는 머씀
[1]",.(39.123),07.02,59,0
1287421,도브사려는 갤러들 제조년도 알려줌,ㅇㅇ(121.161),07.02,39,0
1287420,"ㄹㅇ 비오레 아쿠아리치 별루네
[1]",Beeswax(223.62),07.02,47,0
1287419,"이니스프리 트루케어 논나노 선크림 이중세안 해야돼?
[2]",ㅇㅇ(175.223),07.02,29,0
1287418,"형님들 닥터지 메디유브이 썬크림
[1]",Gamg4,07.02,26,0
1287417,"라로슈포제 똘러리앙 폼클 지성한테 좋음?
[1]",ㄴㄴ(58.238),07.02,50,0
1287416,"스케일링 압출받았는데 연고바르지말라고하던데
[1]",ㅇㅇ(118.220),07.02,47,0
1287415,보습제 질문,ㅇㅇ(121.175),07.02,27,0
1287414,"썬크림 비비크림 바르면 약산성클폼만으로 무리?
[1]",ㅇㅇ(121.175),07.02,38,0
1287412,"100%피부 좋아지는 꿀팁[개념글]
[8]",익익(125.134),07.02,228,6
1287411,아 러시거 골든페어스프레이 직구할까,ㅇㅇ(14.50),07.02,9,0
1287410,쿠팡에서 세라비pm사본 갤러있나,ㅇㅇ(121.161),07.02,35,0
1287409,폴초 스발로 가벼운 화장이나 선크림 지워짐??,ㅇㅇ(112.169),07.02,12,0
1287408,"폴초 제조일 택갈이 하는 짤도 있었는데
[1]",ㅡㄹㅡ(175.200),07.02,42,0
1287407,"이거 써본갤러있는가
[1]",열온사단장,07.02,61,1
1287406,갤러야 폴초스발 17년도라고..,열온사단장,07.02,36,0
1287405,"아모레퍼시픽몰 1만 포인트 받으러 가렴
[2]",ㅁㄴㅇㄹ(221.142),07.02,55,2
1287404,"모낭염에 살리실산 효과있음?
[1]",ㅇㅇ(39.7),07.02,39,0
설문,'돈많으면 형' 형이라 부르고픈 영앤리치 스타는?,운영자,19.07.02,-,-
1287403,닥터지선크림7천언인데되팔이하면씹부자되겟네,냄새고민(211.47),07.02,67,0
1287402,"피부 좋아질려면 집안에서도 선크림 발라야 해?
[3]",ㅇㅇ(121.175),07.02,116,0
1287401,"언냐들 예비군가서 화장품 존나싸게샀어
[2]",냄새고민(211.47),07.02,106,0
1287400,프락셀mts 모공흉터에뭐가효과적?,ㅋㅋ(117.111),07.02,28,0
1287399,"제로이드 수딩로션 씹지성인데 어떰?
[2]",ㅇㅇㅇ(110.70),07.02,77,0
1287398,향수를 첨 사서 써보려는데 추천좀 해주세요,ㅇㅇ(223.38),07.02,16,0
1287397,"여드름 종범세트 알려준다 
[7]",ㅇㅇ(14.4),07.02,210,0
1287396,TCA20~35% 패이는 부작용 있나용?,ㅇㅇ(222.118),07.02,43,0
1287394,"보습 안건조할정도만 vs 듬뿍
[3]",aa(223.62),07.02,105,0
1287393,기름 오지는데,ㅇㅇ(116.127),07.02,33,0
1287392,"건성 vs 지성
[1]",ㅇㅇ(39.7),07.02,28,0
1287391,"이거 써본갤러있는가
[2]",열온사단장,07.02,69,0
1287390,님들 제품 추천좀 해주셈,ㅇㅇ(211.184),07.02,25,0
1287389,"로아큐탄 부작용 좆같다
[5]",ㅇㅇ(211.36),07.02,101,0
1287388,"폴라초이스 스킨로션살애있냐
[4]",%20 ㅇㅇ(117.111),07.02,70,0
1287387,"나는 기초 1만원넘는거 사는애들
[2]",칸호사(223.62),07.02,100,0
1287385,"금뚜 존나 게이같네 시발
[12]",ㅇㅇ(117.111),07.02,101,0
1287384,"귀아래털 졸라 간지러움...
[2]",ㅇㅇ(39.7),07.02,23,0
1287383,"근데 제로이드 수딩 보니까 건성용이라고 나와있던데..
[4]",ㄴㄴ(110.70),07.02,94,0
1287382,"싸고 좋은 향수 추천 좀
[2]",이인(211.187),07.02,55,0
1287381,"햇빛 직접쬐는시간 하루에 10분쯤인데
[2]",ㅇㅇ(119.192),07.02,106,1
1287379,점바점,ㅇㅇ(121.134),07.02,22,0
1287378,점보다는 기미/주근깨가 더 해결이 어렵지?,ㅇㅇ(112.162),07.02,17,0
1287377,"Mts 프락셀가격비슷한데 뭐가더효과적?
[1]",ㅋㅋ(117.111),07.02,39,0
1287376,그리고 올여름 나는 피엠이랑 캄자차로 버틸거임,ㅇㅇ(125.132),07.02,20,0
1287375,"쿠팡 로켓배송 미쳤냐 ㄹㅇ미친괴물들ㄷㄷ
[2]",ㅇㅇ(125.132),07.02,157,0
1287374,"피부 4개월전만 해도 좋았는데  시너지 레이저 받은지 5일차
[2]",ㅇㅇ(222.99),07.02,177,0
1287373,"선크림은 로레알계열사가 사용감이 좋음
[1]",ㅇㅇ(223.38),07.02,62,0
1287372,스티바 디페린 레티놀? 설명좀 해주십쇼,ㅋㅋㅋ(175.223),07.02,30,0
1287371,"(진지) 후장 애무할때 뭔가 정복했다는 쾌감 밀려들지 않냐?.ask
[2]",훈남노노봉,07.02,168,0
1287370,"아넷사 일본이더쌈?
[2]",dd(221.145),07.02,27,0
1287369,컨실러로 코모공 커버 되냐?,ㅇㅇ(223.62),07.02,23,0
1287368,잡추출물 성애자 시드물은 각성하라 ✊✊✊,ㅇㅇ(121.134),07.02,64,0
1287367,"향수 공병 추천좀
[1]",ㅇㅇ(220.119),07.02,30,0
1287366,"오드시슬리1 유저 없냐
[3]",ㅇㅇ(121.134),07.02,18,1
1287365,ㅅㅂ사마귀 무좀 이딴걸로 오월오는사람들 노양심;,ㅇㅇ(210.103),07.02,50,0
1287364,"그래도 색소침착이 다행인게 컨실러로 커버됨
[2]",ㅇㅇ(1.216),07.02,56,0
1287363,"페라리 라이트 쓰는데 딴 향수 추천좀
[4]",ㅇㅇ(220.119),07.02,47,0
1287362,자기만의 루틴 찾는게 진짜 어려운거같아 드디어 싹다처냄,ㅋㅋㅋ(175.223),07.02,73,0
1287361,세라비pm 먼가 안맞어서,ㅇㅇ(203.253),07.02,68,1
1287360,"포맨 시그니쳐 퍼퓸 좋음?
[1]",ㅇㅇ(122.44),07.02,32,0
1287359,"지성 민감 세안제 추천좀
[3]",ㅇㅇ(14.45),07.02,81,0
1287358,"세라비 피엠 바르면 뻘개지는데 나이아신때문인가??
[2]",ㅇㅇ(117.111),07.02,62,0
1287356,"세라비pm vs 세라비 데일리 모이스쳐라이징
[4]",ㅇㅇ(14.45),07.02,83,0
1287355,"스티바 약국에 단종인가???
[1]",ㅇㅇ(58.236),07.02,84,0
1287354,"해외 어디서든 구하기 쉬운 선크림 있음?
[4]",ㅇㅇ(175.223),07.02,54,0
1287353,"이니슾 논나노 무기자차 백탁
[2]",훈돌,07.02,48,0
1287352,"여드름자국 패인거말고 하얗게 남는자국있잖아
[2]",ㅇㅇ(39.120),07.02,64,0
1287351,"날이더워지니 정신병자들이 많이보이네. 
[4]",ㅇㅇ(211.36),07.02,60,0
1287350,"세라비 세라마이드 함량 다 합쳐서 0.1퍼도안되지?
[3]",ㅇㅇ(122.202),07.02,76,0
설문,'돈많으면 형' 형이라 부르고픈 영앤리치 스타는?,운영자,19.07.02,-,-
1287349,"와 여기 애들은 레틴 그냥 얼굴에 쌩으로 쳐바르냐?
[5]",리리카,07.02,125,0
1287348,"염증주사 효과없는데 2주지났으면 또 맞아도될까
[1]",ㅇㅇ(58.234),07.02,36,0
1287346,"이니스프리 그린티로션 쓸때가 기름 젤안남
[3]",방사능,07.02,75,0
1287345,"남자 bb 저렴한거로 진주알 맑은 비비  컬러 : 샌드 어때요?
[2]",ㅇㅇ(118.40),07.02,33,0
1287344,"디페린이나 레틴같은것들은
[2]",칸호사(112.161),07.02,78,1
1287343,"존프리다 헤어세럼 쓰는 사람 있음?
[1]",에구머니,07.02,108,0
1287342,세라비는 유통기한 오디서 확인하냐??,ㅇㅇ(117.111),07.02,22,0
1287341,"디페린 섞발안하고 쥐좃만한양으로 어떻게 다 얼굴에 바름?
[2]",ㅇㅇ(118.220),07.02,81,0
1287339,"리즈너뷰티 아이템 추천좀
[5]",ㅎㅎㅎ(220.122),07.02,52,0
1287337,"제로이드 1년동안 바른 후기 / 내가 하는 피부 관리법
[4]",.(39.123),07.02,190,1
1287336,네이버페이 오픈마켓 사기꾼들은 고발 안됨?,ㅇㅇ(14.43),07.02,74,0
1287335,"제로이드 까는 이유가 뭐냐????
[2]",ㅇㅇ(118.216),07.02,81,0
1287334,"향잘알 횽들 급합니다 질문좀여
[3]",ㅇㅇ(211.36),07.02,63,0
1287333,"이 갤은 몇달에 한번씩오는데 항상 있는 병신이 있네
[3]",ㅇㅇ(121.175),07.02,96,1
1287332,스티바 6개월 + 물세안 하고 피부 존나 좋아짐,ㅇㅇ(110.70),07.02,174,2
1287331,"시트릭애씨드랑 천연오일 안맞는데 폼클렌징 머써야대냐;;;;
[5]",.(39.123),07.02,47,0
1287330,"코애 왕피지빠져서 구멍 뻥낫는데 머발라야되
[3]",직딩이(110.70),07.02,103,0
1287329,"아넷사 쓰는 사람 들어와바라
[2]",ㅇㅇ(122.35),07.02,77,0
